EF,ACC,page,author,year,experiment,family,genus,species,variety,plant_type,plant_type_2,plant_type_3,diversity_type,plant_quality_type,defence_type_specific,trait_category,structure,experiment_type,study_type,plant_lifestage,shade_tolerance,plant_lifestage_2,plant_age,diversity_level,latitude,biome_type,Nfixing,broadleaf_conifer_mix,forb_legume_grass_mix,density,PD,PD2,SR,X_control,SE_control,SD_control,N_control,X_mixture,SE_control.1,SD_mixture,N_mixture,data_source,notes,yi,vi
ef276,19,38,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,453.375,N/A,13.86,3,420.073,N/A,21.947,3,extra data request,"FC, soil = Silts",-1.447669448,0.841312236
ef277,19,39,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,453.375,N/A,13.86,3,422.934,N/A,18.23,3,extra data request,"FCQ, soil = Silts",-1.499923728,0.854147599
ef278,19,40,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,453.375,N/A,13.86,3,409.409,N/A,40.837,3,extra data request,"F+, soil = Silts",-1.150385884,0.776948973
ef279,19,41,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.971,0.029,2,16.071,N/A,2.488,3,15.083,N/A,5.333,3,extra data request,"FQ, soil = Silts",-0.189443313,0.669657397
ef280,19,42,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,16.071,N/A,2.488,3,12.738,N/A,2.872,3,extra data request,"FC, soil = Silts",-0.989757755,0.748301701
ef281,19,43,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,16.071,N/A,2.488,3,16.078,N/A,3.155,3,extra data request,"FCQ, soil = Silts",0.001965827,0.666666989
ef282,19,44,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,16.071,N/A,2.488,3,13.414,N/A,4.599,3,extra data request,"F+, soil = Silts",-0.573376452,0.69406338
ef283,19,45,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.971,0.029,2,28.598,N/A,0.971,3,28.872,N/A,3.143,3,extra data request,"FQ, soil = Silts",0.093986636,0.667402791
ef284,19,46,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,28.598,N/A,0.971,3,29.215,N/A,0.223,3,extra data request,"FC, soil = Silts",0.698810869,0.707361386
ef285,19,47,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,28.598,N/A,0.971,3,25.497,N/A,2.514,3,extra data request,"FCQ, soil = Silts",-1.298367683,0.807146553
ef286,19,48,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,28.598,N/A,0.971,3,30.83,N/A,1.879,3,extra data request,"F+, soil = Silts",1.190765936,0.78482696
ef287,19,49,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.971,0.029,2,16.02,N/A,0.472,3,16.995,N/A,3.659,3,extra data request,"FQ, soil = Silts",0.298204107,0.674077141
ef288,19,50,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,16.02,N/A,0.472,3,17.227,N/A,1.391,3,extra data request,"FC, soil = Silts",0.927193377,0.738307297
ef289,19,51,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,16.02,N/A,0.472,3,17.208,N/A,1.417,3,extra data request,"FCQ, soil = Silts",0.897539446,0.733798088
ef290,19,52,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,16.02,N/A,0.472,3,17.368,N/A,1.532,3,extra data request,"F+, soil = Silts",0.948843557,0.741692008
ef291,19,53,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.971,0.029,2,9.774,N/A,0.641,3,10.731,N/A,2.263,3,extra data request,"FQ, soil = Silts",0.459117608,0.684232415
ef292,19,54,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,9.774,N/A,0.641,3,10.354,N/A,0.748,3,extra data request,"FC, soil = Silts",0.664371533,0.703449128
ef293,19,55,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,9.774,N/A,0.641,3,11.984,N/A,2.477,3,extra data request,"FCQ, soil = Silts",0.974643369,0.745827475
ef294,19,56,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,9.774,N/A,0.641,3,10.359,N/A,3.208,3,extra data request,"F+, soil = Silts",0.201778788,0.670059557
ef295,19,57,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.971,0.029,2,473.333,N/A,1.528,3,474.333,N/A,3.215,3,extra data request,"FQ, soil = Silts",0.316992845,0.675040372
ef296,19,58,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,473.333,N/A,1.528,3,464.333,N/A,18.385,3,extra data request,"FC, soil = Silts",-0.550476967,0.691918741
ef297,19,59,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,473.333,N/A,1.528,3,475,N/A,2.646,3,extra data request,"FCQ, soil = Silts",0.615613183,0.698248299
ef298,19,60,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,473.333,N/A,1.528,3,471.667,N/A,6.028,3,extra data request,"F+, soil = Silts",-0.302297229,0.674281968
ef299,19,61,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.971,0.029,2,21.467,N/A,0.351,3,23.033,N/A,1.35,3,extra data request,"FQ, soil = Silts",1.266802075,0.800398958
ef300,19,62,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,21.467,N/A,0.351,3,22.5,N/A,1.061,3,extra data request,"FC, soil = Silts",1.0430082,0.757322175
ef301,19,63,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,21.467,N/A,0.351,3,22.8,N/A,1.249,3,extra data request,"FCQ, soil = Silts",1.159356736,0.77867567
ef302,19,64,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,21.467,N/A,0.351,3,24.1,N/A,2.458,3,extra data request,"F+, soil = Silts",1.19657689,0.785983021
ef303,19,65,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,SLA,SLA,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,13.163,N/A,1.688,3,14.85,N/A,1.548,3,extra data request,"FC, soil = Rend",0.831133083,0.72423185
ef304,19,66,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,SLA,SLA,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,13.163,N/A,1.688,3,16.934,N/A,4.493,3,extra data request,"FCQ, soil = Rend",0.886552282,0.732164579
ef305,19,67,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,SLA,SLA,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,13.163,N/A,1.688,3,20.402,N/A,3.807,3,extra data request,"F+, soil = Rend",1.961447191,0.987272924
ef306,19,68,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,462.751,N/A,17.364,3,446.062,N/A,21.825,3,extra data request,"FC, soil = Rend",-0.675212515,0.704659328
ef307,19,69,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,462.751,N/A,17.364,3,420.888,N/A,11.445,3,extra data request,"FCQ, soil = Rend",-2.271402491,1.096605773
ef308,19,70,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,physical,LDMC,LDMC,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,462.751,N/A,17.364,3,396.113,N/A,31.823,3,extra data request,"F+, soil = Rend",-2.074169903,1.025181732
ef309,19,71,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,20.142,N/A,1.887,3,17.375,N/A,1.685,3,extra data request,"FC, soil = Rend",-1.234168436,0.793597644
ef310,19,72,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,20.142,N/A,1.887,3,16.599,N/A,1.612,3,extra data request,"FCQ, soil = Rend",-1.610868446,0.882908096
ef311,19,73,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,total phenolics,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,20.142,N/A,1.887,3,14.468,N/A,2.144,3,extra data request,"F+, soil = Rend",-2.24163922,1.085412199
ef312,19,74,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,26.853,N/A,3.046,3,28.108,N/A,1.564,3,extra data request,"FC, soil = Rend",0.413577548,0.680920532
ef313,19,75,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,26.853,N/A,3.046,3,28.527,N/A,0.247,3,extra data request,"FCQ, soil = Rend",0.618098115,0.698503773
ef314,19,76,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,hemicellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,26.853,N/A,3.046,3,27.045,N/A,4.543,3,extra data request,"F+, soil = Rend",0.039609332,0.666797408
ef315,19,77,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,16.079,N/A,0.221,3,16.019,N/A,0.649,3,extra data request,"FC, soil = Rend",-0.098750198,0.6674793
ef316,19,78,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,16.079,N/A,0.221,3,17.058,N/A,1.562,3,extra data request,"FCQ, soil = Rend",0.700249466,0.707529109
ef317,19,79,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,cellulose,structural carbohydrates,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,16.079,N/A,0.221,3,16.383,N/A,4.2,3,extra data request,"F+, soil = Rend",0.081560326,0.667221007
ef318,19,80,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,9.591,N/A,3.835,3,10.243,N/A,1.127,3,extra data request,"FC, soil = Rend",0.184056105,0.669489721
ef319,19,81,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,9.591,N/A,3.835,3,10.256,N/A,0.969,3,extra data request,"FCQ, soil = Rend",0.189702241,0.669665578
ef320,19,82,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,chemical,lignans,phenolics,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,9.591,N/A,3.835,3,9.17,N/A,2.519,3,extra data request,"F+, soil = Rend",-0.103534343,0.667559947
ef321,19,83,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,472.667,N/A,0.707,3,471,N/A,7,3,extra data request,"FC, soil = Rend",-0.267355253,0.672623236
ef322,19,84,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,472.667,N/A,0.707,3,476,N/A,6.245,3,extra data request,"FCQ, soil = Rend",0.598401286,0.696507008
ef323,19,85,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,C,C,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,472.667,N/A,0.707,3,473.333,N/A,7.506,3,extra data request,"F+, soil = Rend",0.099678775,0.667494655
ef324,19,86,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.929,0.071,2,22.167,N/A,0.141,3,22.567,N/A,3.386,3,extra data request,"FC, soil = Rend",0.133183945,0.66814483
ef325,19,87,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.952,0.048,3,22.167,N/A,0.141,3,22.467,N/A,0.751,3,extra data request,"FCQ, soil = Rend",0.443010246,0.683021506
ef326,19,88,"Forey, E",2011,Upper-Normandy,Fagaceae,Fagus,Fagus sylvatica,NA,woody,deciduous angiosperm,angiosperm,species,nutrient,N,N,leaf,observational,observational,adult,tolerant,mature,60-85,local,49,temperate,No N-fixing neighbours,N,NA,NA,0.859,0.141,4,22.167,N/A,0.141,3,24.6,N/A,0.7,3,extra data request,"F+, soil = Rend",3.844702621,1.898478187
ef327,20,1,"Broz, A. K",2010,Greenhouse 2,Asteraceae,Centaurea,Centaurea maculosa,NA,herbacious,forb,forb,species,chemical,total phenolics,phenolics,leaf,greenhouse,experimental,vegatative ,intolerant,NA,NA,local,NA,temperate,No N-fixing neighbours,NA,Y,NA,0.565,0.435,2,24.12,0.71,2.008,8,26.05,1,2.828,8,Table S2,low soil nutrient treatment; field study data not included as diversity levels not quantified,0.743891964,0.267292977
ef328,20,2,"Broz, A. K",2010,Greenhouse 2,Asteraceae,Centaurea,Centaurea maculosa,NA,herbacious,forb,forb,species,chemical,total phenolics,phenolics,leaf,greenhouse,experimental,vegatative ,intolerant,NA,NA,local,NA,temperate,No N-fixing neighbours,NA,Y,NA,0.565,0.435,2,19.8,0.47,1.329,8,20.84,0.64,1.81,8,Table S2,high soil nutrient treatment,0.619150533,0.261979606
ef329,21,1,"Kigathi, RN",2013,Greenhouse 1,Fabaceae,Trifolium,Trifolium pratense,NA,herbacious,legume,legume,species,chemical,VOCs,VOCs,leaf,greenhouse,experimental,vegatative ,intolerant,NA,NA,local,NA,temperate,No N-fixing neighbours,NA,Y,NA,NA,NA,2,22.43,9.37,20.952,5,30.46,6.82,15.25,5,Table S2,Above ground contact ,0.395582253,0.407824266
ef330,21,2,"Kigathi, RN",2013,Greenhouse 1,Fabaceae,Trifolium,Trifolium pratense,NA,herbacious,legume,legume,species,chemical,VOCs,VOCs,leaf,greenhouse,experimental,vegatative ,intolerant,NA,NA,local,NA,temperate,No N-fixing neighbours,NA,Y,NA,NA,NA,2,25.59,4.02,8.989,5,45.22,15.06,33.675,5,Table S2,Below + above ground contact,0.718996154,0.425847773
ef331,22,1,"Ormeño, E",2006,Garrigue,Lamiaceae,Rosmarinus,Salvia rosmarinus,NA,woody,evergreen angiosperm,angiosperm,species,chemical,monoterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,6.157,0.28,0.686,6,3.496,1.21,2.964,6,Fig 1,neighbour = Pinus halepensis,-1.141386469,0.387615128
ef332,22,2,"Ormeño, E",2006,Garrigue,Lamiaceae,Rosmarinus,Salvia rosmarinus,NA,woody,evergreen angiosperm,angiosperm,species,chemical,monoterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.633,0.367,2,6.157,0.28,0.686,6,6.346,0.94,2.303,6,Fig 1,neighbour = Cistus albidus,0.102637288,0.333772267
ef333,22,3,"Ormeño, E",2006,Garrigue,Lamiaceae,Rosmarinus,Salvia rosmarinus,NA,woody,evergreen angiosperm,angiosperm,species,chemical,monoterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.633,0.367,2,6.157,0.28,0.686,6,6.016,0.31,0.759,6,Fig 1,neighbour = Quercus coccifera,-0.179849716,0.33468108
ef334,22,4,"Ormeño, E",2006,Garrigue,Lamiaceae,Rosmarinus,Salvia rosmarinus,NA,woody,evergreen angiosperm,angiosperm,species,chemical,sesquiterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,0.39,0.04,0.098,6,0.27,0.05,0.122,6,Fig 1,neighbour = Pinus halepensis,-1.000694637,0.375057907
ef335,22,5,"Ormeño, E",2006,Garrigue,Lamiaceae,Rosmarinus,Salvia rosmarinus,NA,woody,evergreen angiosperm,angiosperm,species,chemical,sesquiterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.633,0.367,2,0.39,0.04,0.098,6,0.4,0.06,0.147,6,Fig 1,neighbour = Cistus albidus,0.073863389,0.333560658
ef336,22,6,"Ormeño, E",2006,Garrigue,Lamiaceae,Rosmarinus,Salvia rosmarinus,NA,woody,evergreen angiosperm,angiosperm,species,chemical,sesquiterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.633,0.367,2,0.39,0.04,0.098,6,0.45,0.01,0.024,6,Fig 1,neighbour = Quercus coccifera,0.776022558,0.358425459
ef337,22,4,"Ormeño, E",2006,Garrigue,Pinaceae,Pinus ,Pinus halepensis,NA,woody,evergreen conifer ,conifer,species,chemical,monoterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,3.508,0.73,1.788,6,1.252,0.24,0.588,6,Fig 1,neighbour = Salvia rosmarinus ,-1.564118406,0.435269433
ef338,22,5,"Ormeño, E",2006,Garrigue,Pinaceae,Pinus ,Pinus halepensis,NA,woody,evergreen conifer ,conifer,species,chemical,monoterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,3.508,0.73,1.788,6,3.425,0.66,1.617,6,Fig 1,neighbour = Cistus albidus,-0.044928921,0.333417442
ef339,22,6,"Ormeño, E",2006,Garrigue,Pinaceae,Pinus ,Pinus halepensis,NA,woody,evergreen conifer ,conifer,species,chemical,monoterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,3.508,0.73,1.788,6,1.228,0.18,0.441,6,Fig 1,neighbour = Quercus coccifera,-1.615625589,0.442093585
ef340,22,7,"Ormeño, E",2006,Garrigue,Pinaceae,Pinus ,Pinus halepensis,NA,woody,evergreen conifer ,conifer,species,chemical,sesquiterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,1.67,0.13,0.318,6,0.76,0.05,0.122,6,Fig 1,neighbour = Salvia rosmarinus ,-3.486538034,0.839831144
ef341,22,8,"Ormeño, E",2006,Garrigue,Pinaceae,Pinus ,Pinus halepensis,NA,woody,evergreen conifer ,conifer,species,chemical,sesquiterpene,terpenes,leaf,common garden,experimental,seedling,intolerant,juvenile,NA,local,43,temperate,No N-fixing neighbours,Y,NA,NA,0.5,0.5,2,1.67,0.13,0.318,6,1.27,0.2,0.49,6,Fig 1,neighbour = Cistus albidus,-0.893587718,0.366604125
